compound,5-HT1A,5-HT1B,5-HT1D,5-HT1E,5-HT1F,5-HT2A,5-HT2B,5-HT2C,5-HT3,5-HT4,5-HT6,5-HT7,n_receptors,s_score,gini,entropy,ratio,top_receptor,pKi_top,pKi_2A,pKi_2B,selectivity_2A_over_2B
DPT,7.497572880015567,6.068338760315519,6.2084496949726695,5.6311554931741785,,5.588548657862063,7.376750709602099,5.80493100353141,,,5.342657263185374,6.546834607474143,9,0.4444444444444444,0.06428679561161954,2.6523255775840324,1.0163787791088286,5-HT1A,7.497572880015567,5.588548657862063,7.376750709602099,-1.7882020517400363
DiPT,6.919012953089113,,5.426896216836009,,,,6.399571674267869,,,,,5.465593100862122,4,0.5,0.055866261802794526,1.0678735903320287,1.0811681320657558,5-HT1A,6.919012953089113,,6.399571674267869,
LSD,8.739937790831043,7.401654005740087,7.9472716651667765,7.031517051446065,,8.572840961228067,7.730985423583231,8.152432028739542,,,8.406965263170079,8.070532941388453,9,0.0,0.036714258166617775,2.8876389747343922,1.0194914183476278,5-HT1A,8.739937790831043,8.572840961228067,7.730985423583231,0.841855537644836
LSD (+),,,,,,8.624928621814092,,8.207608310501746,,,8.899629454882437,7.780848986313148,4,0.0,0.02815071752692022,1.4867481402855462,1.0318496355289912,5-HT6,8.899629454882437,8.624928621814092,,
MDA R(-),,,,,,5.473676110573239,6.823908740944319,5.939385949612405,,,,,3,0.6666666666666666,0.049358805074046774,0.8213516364808466,1.1489249560200134,5-HT2B,6.823908740944319,5.473676110573239,6.823908740944319,-1.3502326303710799
MDMA,4.913640169325252,,,,,5.094413652466723,6.051633986661915,,,,,,3,0.6666666666666666,0.0472401801292639,0.5765339190421689,1.1878960758774868,5-HT2B,6.051633986661915,5.094413652466723,6.051633986661915,-0.9572203341951919
bufotenine,7.8072169289421005,6.4546689932361225,8.100339657627533,,7.50003813440381,6.508128163964701,,7.159967521999358,7.468521082957745,,7.4335574281225725,7.463431561490833,9,0.0,0.03775334873614411,2.8026704670001488,1.0375450985099182,5-HT1D,8.100339657627533,6.508128163964701,,
psilocin,7.20342566678957,6.515700160653214,7.730487055782084,7.353596273776931,,6.469032318428085,8.327902142064282,6.850165303284215,,,7.1444808443322,7.145086977692144,9,0.0,0.04169041934326456,2.689098247128852,1.0772803941034164,5-HT2B,8.327902142064282,6.469032318428085,8.327902142064282,-1.858869823636197
psilocybin,,,5.673869043289205,6.710411047457404,,7.886056647693163,6.613765798473359,,,,6.383524486111435,6.223371446579851,6,0.16666666666666666,0.05381942987518018,2.1376880464156227,1.175197255715239,5-HT2A,7.886056647693163,7.886056647693163,6.613765798473359,1.2722908492198037
serotonin,8.497039390769244,8.257445112240536,8.368868206403512,8.21694050884996,7.614012414102736,6.739104538782452,7.983917797907869,7.654469614811836,6.634776929854407,7.074602346467675,7.188025841542969,8.731757648692987,12,0.0,0.049692357600545245,3.23473228472909,1.0276235341663509,5-HT7,8.731757648692987,6.739104538782452,7.983917797907869,-1.2448132591254168
tryptamine,6.205005920204359,6.44563585020897,7.007676805107139,5.591929714112815,5.618163200001657,6.188545724636036,6.937628297916593,6.870808441669915,,,6.336769944848685,7.388312225679442,10,0.2,0.049149233882195054,2.916482137775391,1.0543169200233233,5-HT7,7.388312225679442,6.188545724636036,6.937628297916593,-0.7490825732805568
