number,name,unigene,ligandid,ligandname,smiles,cas,nsc,hotligand,species,source,kinote,kival,reference,link
54,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,33.1,"HOYER, 1988",
55,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,33.1,"MARKSTEIN ET AL, 1986",
56,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,33.1,"SCHOEFFTER & HOYER, 1989",
57,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,33.1,"HOYER & KARPF, 1988",
58,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,33.1,"ENGEL ET AL, 1986",
59,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,33.1,"HOYER ET AL., 1985",
60,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,33.1,"HOYER ET AL., 1985",
61,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,33.1,"HOYER ET AL., 1989",
62,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,33.1,"SCHLICKER ET AL., 1989",
63,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,CORTEX,,40.0,"PAZOS ET AL, 1984",
64,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,125I-LSD,PIG,Choroid Plexus,,81.3,"HOYER ET AL., 1986",
65,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,125I-LSD,MOUSE,C. PLEXUS TUM,,115.0,"YAGALOFF ET AL., 1986",
66,5-HT2C,HTR2C,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5.25,"SCHOEFFTER & HOYER, 1989",
67,5-HT2C,HTR2C,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5.25,"HOYER ET AL., 1985",
68,5-HT2C,HTR2C,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5.75,"HOYER, 1989 (J.R.R.)",
69,5-HT2C,HTR2C,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-MESULERGINE,PIG,Choroid Plexus,,6.31,"HOYER, 1988 or 9 (book)",
70,5-HT2C,HTR2C,116,4-HT,C1=CC2=C(C(=C1)O)C(=CN2)CCN,,,3H-MESULERGINE,PIG,Choroid Plexus,,40.7,"ENGEL ET AL, 1986",
71,5-HT2C,HTR2C,126,"5,6-DHT",C1=C2C(=CC(=C1O)O)NC=C2CCN,5090-36-8,,3H-MESULERGINE,PIG,Choroid Plexus,,708.0,"ENGEL ET AL, 1986",
72,5-HT2C,HTR2C,131,"5,7-DHT",,39929-27-6,,3H-MESULERGINE,PIG,Choroid Plexus,>,10000.0,"ENGEL ET AL, 1986",
73,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,PIG,Choroid Plexus,,589.0,"HOYER, 1988",
74,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,PIG,Choroid Plexus,,589.0,"ENGEL ET AL, 1986",
75,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,PIG,Choroid Plexus,,589.0,"MARKSTEIN ET AL, 1986",
76,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,PIG,Choroid Plexus,,589.0,"SCHLICKER ET AL., 1989",
77,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,PIG,Choroid Plexus,,589.0,"HOYER, 1989 (J.R.R.)",
78,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,PIG,Choroid Plexus,,589.0,"HOYER ET AL., 1989",
79,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,PIG,Choroid Plexus,,617.0,"HOYER ET AL., 1985",
80,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,PIG,Choroid Plexus,,631.0,"HOYER ET AL., 1986",
81,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,PIG,Choroid Plexus,,631.0,"HOYER, 1988 or 9 (book)",
82,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,125I-LSD,PIG,Choroid Plexus,,3630.0,"HOYER ET AL., 1986",
83,5-HT2C,HTR2C,140,5-CT,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN,74885-09-9,,3H-MESULERGINE,HUMAN,Choroid Plexus,,4270.0,"HOYER ET AL., 1986",
84,5-HT2C,HTR2C,141,"5-CT,DP",,,,3H-MESULERGINE,PIG,Choroid Plexus,>,10000.0,"MARKSTEIN ET AL, 1986",
85,5-HT2C,HTR2C,141,"5-CT,DP",,,,3H-MESULERGINE,PIG,Choroid Plexus,>,10000.0,"HOYER, 1989 (J.R.R.)",
86,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-SCH23390,CANINE,Choroid Plexus,,165.0,"NICKLAUS ET AL., 1988",http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=2971798&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=2971798&dopt=Abstract#
87,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,HUMAN,Choroid Plexus,,166.0,"HOYER ET AL., 1986",
88,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,125I-LSD,RAT,Choroid Plexus,,318.0,"YAMAMOTO & KEBABIAN, 1989",
89,5-HT2C,HTR2C,152,"5-HT,1-Me",,,,3H-MESULERGINE,PIG,Choroid Plexus,,4.47,"HOYER, 1988",
90,5-HT2C,HTR2C,152,"5-HT,1-Me",,,,3H-MESULERGINE,PIG,Choroid Plexus,,4.47,"HOYER ET AL., 1989",
91,5-HT2C,HTR2C,152,"5-HT,1-Me",,,,3H-MESULERGINE,PIG,Choroid Plexus,,398.0,"HOYER, 1988 or 9 (book)",
92,5-HT2C,HTR2C,154,"5-HT,2-Me",CC1=C(C2=C(N1)C=CC(=C2)O)CCN,,,3H-MESULERGINE,PIG,Choroid Plexus,,1260.0,"HOYER, 1988 or 9 (book)",
93,5-HT2C,HTR2C,154,"5-HT,2-Me",CC1=C(C2=C(N1)C=CC(=C2)O)CCN,,,3H-MESULERGINE,PIG,Choroid Plexus,,1450.0,"MARKSTEIN ET AL, 1986",
94,5-HT2C,HTR2C,154,"5-HT,2-Me",CC1=C(C2=C(N1)C=CC(=C2)O)CCN,,,3H-MESULERGINE,PIG,Choroid Plexus,,1460.0,"ENGEL ET AL, 1986",
95,5-HT2C,HTR2C,155,"5-HT,a-Me",CC(CC1=CNC2=C1C=C(C=C2)O)N,,,3H-MESULERGINE,PIG,Choroid Plexus,,58.9,"HOYER, 1988",
96,5-HT2C,HTR2C,155,"5-HT,a-Me",CC(CC1=CNC2=C1C=C(C=C2)O)N,,,3H-MESULERGINE,PIG,Choroid Plexus,,58.9,"MARKSTEIN ET AL, 1986",
97,5-HT2C,HTR2C,155,"5-HT,a-Me",CC(CC1=CNC2=C1C=C(C=C2)O)N,,,3H-MESULERGINE,PIG,Choroid Plexus,,58.9,"HOYER ET AL., 1989",
98,5-HT2C,HTR2C,155,"5-HT,a-Me",CC(CC1=CNC2=C1C=C(C=C2)O)N,,,3H-MESULERGINE,PIG,Choroid Plexus,,58.9,"ENGEL ET AL, 1986",
99,5-HT2C,HTR2C,158,"5-HT,b-Me",,,,3H-MESULERGINE,PIG,Choroid Plexus,,490.0,"MARKSTEIN ET AL, 1986",
100,5-HT2C,HTR2C,158,"5-HT,b-Me",,,,3H-MESULERGINE,PIG,Choroid Plexus,,490.0,"ENGEL ET AL, 1986",
101,5-HT2C,HTR2C,162,"5-HT,omega-N-Me",,,,3H-MESULERGINE,PIG,Choroid Plexus,,282.0,"ENGEL ET AL, 1986",
102,5-HT2C,HTR2C,172,5-Methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN,608-07-1,56422.0,3H-MESULERGINE,PIG,Choroid Plexus,,23.4,"HOYER ET AL., 1989",
103,5-HT2C,HTR2C,606,CYPROHEPTADINE,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,129-03-3,,3H-MESULERGINE,PIG,Choroid Plexus,,12.6,"HOYER, 1988 or 9 (book)",
104,5-HT1A,HTR1A,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,11.0,"GLENNON ET AL., 1988",
105,5-HT1A,HTR1A,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-8-OH-DPAT,PIG,CORTEX,,38.9,"SCHOEFFTER & HOYER, 1989",
106,5-HT1A,HTR1A,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-8-OH-DPAT,PIG,CORTEX,,38.9,"SCHOEFFTER ET AL., 1989",
108,5-HT1A,HTR1A,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-8-OH-DPAT,PIG,CORTEX,,66.1,"HOYER, 1989 (J.R.R.)",
109,5-HT1A,HTR1A,33,1-PP,C1CN(CCN1)C2=NC=CC=N2,88747,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,1410.0,"GLENNON ET AL., 1988",
110,5-HT1A,HTR1A,33,1-PP,C1CN(CCN1)C2=NC=CC=N2,88747,,3H-8-OH-DPAT,PIG,CORTEX,,1560.0,"HOYER, 1989 (J.R.R.)",
111,5-HT1A,HTR1A,38,"2,4,5-TMA",,,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,>,10000.0,"TITELER ET AL., 1988",
112,5-HT1A,HTR1A,40,"2,4-DMA",CC1=CC(=C(C=C1)NC(=O)C)C,23690-13-3,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,>,10000.0,"TITELER ET AL., 1988",
113,5-HT1A,HTR1A,686,DMA,,2801-68-5,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,1131.0,"TITELER ET AL., 1988",
114,5-HT1A,HTR1A,63,2-CPP,,,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,146.06,"COSSERY ET AL.,1986",
115,5-HT1A,HTR1A,68,2-NP,CC(C)[N+](=O)[O-],79-46-9,5369.0,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,2900.0,"GLENNON ET AL., 1988",
