assay_chembl_id,assay_description,document_chembl_id,standard_type,standard_units,molecule_chembl_id,standard_value,standard_relation,pathway
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5405349,47.7,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5422786,15.1,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5428466,77.3,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5415797,31.4,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5403370,59.4,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5394639,75.9,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5416604,97.0,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5399727,96.0,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5401711,27.0,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5433583,56.5,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5424784,88.5,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5440436,72.7,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5437921,50.9,=,beta-arrestin
