assay_chembl_id,assay_description,document_chembl_id,n_records,pathway
CHEMBL3872781,Antagonistic activity at 5-HT2A receptor (unknown origin) expressed in CHOK1 cells co-expressing G-alpha 15 assessed as inhibition of serotonin-induced calcium flux at 10 uM by Fluo-4 dye based FLIPR assay relative to control,CHEMBL3872208,2,gq
CHEMBL3756320,Antagonist activity at human 5-HT2A receptor expressed in CHO-K1 cells assessed as inhibition of 5HT-induced Ca2+ release at 10 uM by fluorometry assay,CHEMBL3751661,2,gq
CHEMBL862029,Efficacy against human recombinant 5HT2A receptor induced intracellular calcium mobilization in CHO cells by FLIPR,CHEMBL1139653,2,gq
CHEMBL3592666,Antagonist activity at human recombinant 5HT2A receptor expressed in HEK293 cells assessed as inhibition of serotonin-induced intracellular IP1 release at 1 uM by HTRF assay,CHEMBL3588770,2,gq
CHEMBL3592665,Agonist activity at human recombinant 5HT2A receptor expressed in HEK293 cells assessed as intracellular IP1 release at 1 uM by HTRF assay,CHEMBL3588770,2,gq
CHEMBL3295407,Antagonist activity at human recombinant 5-HT2A receptor assessed as inhibition of serotonin-induced inositol phosphate accumulation,CHEMBL3286108,2,gq
CHEMBL4229843,Antagonist activity at human 5-HT2AR expressed in HEK293 cells assessed as inhibition of serotonin-induced calcium flux after 30 mins by HTRF method,CHEMBL4229332,2,gq
CHEMBL2395632,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as increase in calcium mobilization by FLIPR assay relative to 5-HT,CHEMBL2390840,2,gq
CHEMBL2343050,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as induction of intracellular calcium release at 100 to 1000 uM by fluorescence assay,CHEMBL2331121,2,gq
CHEMBL2342578,Ratio of EC50 for human 5HT2A receptor by calcium fiux-based fluorescence assay to EC50 for 5HT2A by IP1 accumulation-based TR-FRET assay,CHEMBL2331121,2,gq
CHEMBL1119160,Inverse agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as inhibition of inositol phosphate accumulation,CHEMBL1155506,2,gq
CHEMBL980680,Antagonist activity at human 5HT2A receptor expressed in EC80 serotonin-stimulated CHOK1 cells by calcium mobilization assay,CHEMBL1138595,2,gq
CHEMBL617052,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line; no data,CHEMBL1133355,2,gq
CHEMBL4229986,Antagonist activity at human 5-HT2AR expressed in HEK293 cells assessed as inhibition of serotonin-induced IP1 accumulation after 60 mins by HTRF method,CHEMBL4229332,2,gq
CHEMBL4605030,Agonist activity at human 5-HT2A receptor expressed in Flp-In T-REx 293 cells assessed as induction of Gq-mediated calcium flux incubated for 1 hr by Flou4-AM dye based FLIPR assay relative to serotonin,CHEMBL4602692,2,gq
CHEMBL5553669,Antagonist activity at 5-HT2A receptor (unknown origin) assessed as inhibition of 5-HT stimulated IP1 production incubated for 1 hr by HTRF method,CHEMBL5550195,2,gq
CHEMBL5553670,Antagonist activity at 5-HT2A receptor (unknown origin) assessed as inhibition of 5-HT stimulated IP1 production at 10 uM incubated for 1 hr by HTRF method relative to control,CHEMBL5550195,2,gq
